User_ID,annual_income,number_of_children,proximity_town,sum
1000001,42521.93013,2,2.67710094,38891
1000002,59199.36954,0,3.589760452,37417
1000003,40056.02938,1,3.94438982,49947
1000004,79474.66782,0,2.70260482,66607
1000005,85567.55715,1,2.841508869,50684
1000006,58020.52611,0,3.439610494,70278
1000007,9639.072707,1,2.377544732,34616
1000008,82230.58058,1,1.122474705,134364
1000009,37220.34395,0,2.444812037,54727
1000010,319663.3497,2,2.020528939,399955
1000011,40263.25382,2,3.154416293,67977
1000012,0,0,1.266215375,22111
1000013,34571.08364,1,1.907313238,61611
1000014,0,0,5.359201198,22282
1000015,186897.9136,1,2.940167681,193522
1000016,48413.98763,0,3.906914514,25709
1000017,203960.0792,1,4.048134654,201579
1000018,260387.7669,0,2.196689759,281990
1000019,241312.098,0,2.611717756,254812
1000021,0,1,3.302834391,3055
1000022,144784.9137,1,0.887268198,153959
1000023,296779.7193,0,1.826799931,283463
1000024,29009.65607,1,2.592445866,52708
1000025,62877.80131,0,2.044345901,75078
1000026,209208.0551,2,3.328437566,194900
1000027,51264.65668,2,3.208942737,58665
1000028,27209.70155,1,3.327025529,79302
1000029,77964.66263,0,3.302017073,73713
1000030,32888.93342,0,3.849392087,20828
1000031,93655.23155,2,3.959010228,71197
1000032,18287.18892,0,4.438036272,7134
1000033,270791.2174,3,3.351325029,324176
1000034,105055.4838,1,1.955871428,124298
1000035,82033.1719,0,2.560714082,111702
1000036,485936.3358,1,0.872530457,456745
1000037,53993.39104,2,1.253891018,32272
1000039,47046.08252,2,3.015517367,63100
1000041,64982.82962,1,4.84447496,11940
1000042,170314.2821,1,3.499029015,179003
1000043,27649.26989,0,2.891009739,47223
1000044,272139.5055,0,2.966107882,238395
1000045,179844.0873,2,3.493467805,140430
1000046,46886.81302,2,1.653929434,28470
1000047,0,0,3.058771501,14955
1000048,417692.5391,0,1.937714407,458947
1000049,103495.0997,0,3.204936128,147574
1000050,37562.48462,0,2.192737331,25493
1000051,97764.66114,1,2.756314341,17271
1000052,66747.43016,0,2.64490701,85019
1000053,761366.1706,1,1.503237611,748224
1000054,2193.001995,1,2.24288922,18437
1000056,81251.2364,1,2.944943723,44502
1000057,93159.53142,0,1.810247617,83315
1000058,375062.4685,0,2.79248997,343035
1000059,196158.2922,0,3.384476451,179658
1000060,45175.42021,1,2.200496367,38450
1000061,33423.41336,1,2.995320206,38101
1000062,288973.2957,0,4.647707073,312703
1000063,40796.58864,2,3.993389312,46023
1000064,41226.21541,1,2.094380164,19462
1000065,61961.0817,1,2.874235082,123749
1000066,19249.53953,1,2.284039343,18785
1000067,27713.94221,2,1.65630481,48962
1000068,60335.82357,2,4.41640739,54395
1000069,33811.70756,4,2.610578682,29562
1000070,0,2,3.044166551,21166
1000071,38016.04786,0,3.417245041,45258
1000072,80581.94242,1,,41930
1000073,234726.8005,0,11.65559941,201012
1000074,31836.64604,0,43.12273849,27990
1000075,216383.0716,0,1.86883383,209433
1000076,77573.85584,0,38.47519514,91029
1000077,18841.9872,1,2.172653746,18485
1000078,19157.76806,1,33.31317375,56536
1000079,15577.38669,1,11.9247349,32538
1000080,30066.205,0,0.8778259,27895
1000081,154394.5891,1,,95597
1000082,66278.94667,1,53.4121328,79346
1000083,57327.35885,0,1.11683369,79168
1000084,60857.03306,2,4.82199496,43339
1000085,42884.11242,0,7.11622388,26525
1000086,59774.73024,1,8.37455651,84791
1000087,0,1,0.138316791,49038
1000088,15628.99646,1,37.5219673,36777
1000089,14534.21631,2,21.85465959,20479
1000090,159998.5137,1,3.662513485,212735
1000091,52730.81464,0,7.17571921,28894
1000092,192500.1188,1,0.2971365,199631
1000093,243941.6422,2,1.177148887,208578
1000094,28239.37464,0,15.8428745,15482
1000095,43551.15693,1,2.2933172,61577
1000096,0,0,19.82658,13050
1000097,70641.16762,1,2.866667163,106311
1000099,23137.86169,0,11.434856,49941
1000100,72808.98102,1,6.82135897,71145
1000101,104092.3112,1,4.742193126,151798
1000102,92503.50186,0,14.9477871,98007
1000103,133060.7864,1,3.1286674,107307
1000105,64949.71417,0,8.7993985,63275
1000106,78004.41159,0,3.84813197,41370
1000107,87153.05584,1,8.183681448,121471
1000108,0,1,21.39337753,2021
1000109,41000.34455,0,6.47294716,33079
1000110,15516.20991,0,14.42794944,74507
1000111,65794.16289,5,81.5579,76876
1000112,44936.59598,0,14.2353917,27262
1000113,0,0,0.797739152,32487
1000114,41094.2503,2,5.182186648,60681
1000116,95600.29386,0,,71553
1000117,292343.459,4,2.99133153,290791
1000118,173442.0104,1,24.869216,181335
1000119,79401.79203,0,12.59843555,70476
1000120,14343.18616,0,11.35529866,60543
1000121,93272.75214,0,22.368279,65501
1000122,89900.23691,0,29.39947227,39870
1000123,334234.7807,1,5.3123733,385316
1000124,59345.65787,0,66.8622459,15934
1000125,54255.92788,3,27.435457,86193
1000126,78265.47898,1,35.7221828,36944
1000127,185983.1663,1,27.8826735,172369
1000128,0,0,16.61287711,24243
1000129,219334.9476,1,2.468779116,178149
1000130,246860.1466,1,8.757172695,292643
1000131,249174.6557,0,17.42128,214114
1000132,41206.92944,0,29.19128783,58368
1000133,113559.3209,1,12.16193628,113373
1000134,127589.684,1,8.94487938,113457
1000135,125891.0017,2,2.1318926,79795
1000136,202487.3044,1,19.1216766,178264
1000137,122160.6871,1,8.75812379,148533
1000138,111995.084,0,3.617984459,87539
1000139,254481.8938,1,11.4546334,271923
1000140,63828.69838,1,11.3287928,30566
1000142,52446.71147,0,5.58875422,65744
1000143,84555.79285,0,4.5368535,69465
1000145,0,1,38.49361432,50496
1000146,513708.1153,0,2.119324442,486321
1000147,240727.1184,1,2.1414382,264828
1000148,453987.9521,0,7.5157377,457260
1000149,412144.1696,0,16.49878544,434781
1000150,186166.5398,0,9.4359855,172970
1000151,344712.7521,1,26.86677197,334557
1000152,31248.10605,0,3.4736883,27771
1000153,109916.0713,0,19.884371,53611
1000154,9671.316862,1,32.5127199,52547
1000155,100428.5366,0,7.47289322,83591
1000156,53747.33395,1,4.126936134,62953
1000157,332954.0195,2,3.715592223,273561
1000158,34821.29582,0,0.373873276,23027
1000159,54540.74881,0,3.33475,52538
1000160,49532.28119,0,3.616592231,10562
1000161,187697.639,0,8.59755389,263113
1000162,102398.96,5,33.72896389,90538
1000163,261739.3284,2,1.44174923,247832
1000165,117867.5056,2,15.36372152,97477
1000166,360707.5584,0,1.193863,322277
1000169,422772.9107,0,9.194112298,453068
1000170,81603.78721,3,22.8786293,68773
1000171,40792.90305,2,7.736561274,22047
1000172,2724.550037,1,18.934346,14070
1000173,563560.4777,0,2.275585567,513505
1000174,111448.6131,1,15.64934,143194
1000175,278900.1596,2,76.2477662,232009
1000176,60758.86972,1,9.86929676,48822
1000177,43451.79373,0,9.1636268,66716
1000178,63516.62241,2,14.312527,59522
1000179,37682.77358,2,22.8855863,44465
1000180,30064.21648,1,0.57137371,25542
1000181,291192.7643,1,2.6932222,298920
1000182,106013.6187,0,5.8754449,118301
1000183,112585.525,2,14.23813824,115456
1000184,127494.7881,0,4.8638681,78784
1000185,63627.81707,3,31.66925,58805
1000186,54103.0559,0,48.4191575,72785
1000187,342756.154,3,24.137436,326134
1000188,104103.2224,0,21.57565172,105119
1000190,122168.8834,3,15.3947493,100636
1000191,0,0,21.3164,8861
1000192,294411.7248,0,28.94412247,327491
1000193,133107.7919,1,4.58438924,147111
1000194,54748.56663,0,2.87218696,46924
1000195,743972.4664,0,0.732451981,776450
1000196,136115.8108,2,16.13653432,90815
1000197,0,0,11.315739,23460
1000198,399092.7983,0,25.5497992,391923
1000199,248292.4538,1,5.77825636,289223
1000200,0,1,38.54859311,22058
1000201,127274.6682,1,41.65581656,109780
1000202,491254.8577,2,4.8547446,520679
1000203,60588.16773,0,7.122921,45054
1000204,270175.6632,0,1.64759885,282710
1000205,281507.0909,0,55.99621633,224560
1000206,0,1,11.3154896,5156
1000208,238271.6943,1,34.35526232,187062
1000209,0,2,1.96312891,13124
1000210,136013.2553,0,32.4687216,89056
1000211,37320.00557,3,27.7289999,38935
1000212,146231.7038,1,1.486988562,134373
1000214,66745.00859,0,0.368377417,90382
1000215,42939.89977,2,3.48127924,26254
1000216,441462.1613,2,1.623686117,494524
1000217,14893.68895,1,1.9539398,15222
1000218,39468.61023,1,12.3774187,35294
1000219,92633.72678,2,5.236282776,29297
1000220,54948.29256,0,21.37353837,94015
1000221,52671.32044,1,14.1389242,13818
1000222,74087.08141,1,6.4764557,91659
1000223,179444.7498,0,1.13428494,173250
1000225,336648.1631,0,8.45193991,348351
1000227,9877.764708,0,17.46854644,14982
1000228,30700.27291,0,12.31387183,3687
1000229,235256.9261,0,8.789431876,169946
1000230,203323.1924,1,2.27286272,195784
1000231,154065.1061,2,1.5535775,142698
1000232,96548.81136,2,12.48317934,39721
1000233,56431.81862,1,6.995967577,26690
1000234,0,1,26.78653173,15969
1000235,431267.2199,0,4.683836528,460696
1000236,122931.9307,0,15.37139457,65278
1000237,100000.2223,1,7.736548122,143903
1000238,233244.9346,1,32.25452857,212566
1000239,28496.22172,1,,61355
1000240,80663.50719,1,16.831334,85323
1000242,298415.7459,0,1.474993,289241
1000243,53409.10105,1,6.15459694,51452
1000244,49348.42668,1,0.13742725,87773
1000245,545375.6416,0,9.99149875,481700
1000246,0,1,5.545922744,20184
1000249,132781.9244,1,2.566324675,107418
1000250,18239.41678,0,6.58154697,26474
1000251,29805.55684,0,61.8675456,49817
1000252,13174.86736,0,27.69711982,75221
1000253,8070.266417,0,38.266646,25371
1000254,87414.14629,1,53.8795366,15837
1000255,303027.6389,0,23.3757855,302732
1000256,77421.03079,0,8.53787974,62874
1000257,76796.16474,2,9.99279682,76987
1000258,113385.0792,1,37.6419142,73086
1000259,167916.7131,0,77.61849228,154858
1000260,268478.1906,1,15.336682,230300
1000261,240330.5543,1,,272899
1000262,215556.6342,1,76.9621742,158834
1000263,47520.74996,0,35.739198,73755
1000264,203467.6375,3,26.3639213,214496
1000265,1282.237706,1,51.177686,28160
1000266,110812.387,1,2.9982754,69954
1000267,114042.1252,0,33.52149335,115615
1000268,227979.8315,1,14.6752775,204186
1000269,0,0,2.63324577,20855
1000270,116029.9411,1,32.2981687,59209
1000271,379023.2425,1,5.93357255,360167
1000272,380638.1023,3,6.77849262,389467
1000273,179946.1573,0,11.744247,173033
1000274,133985.7938,0,1.55975434,82497
1000275,93923.54494,0,4.73428596,70960
1000276,22795.8785,2,2.6733811,22024
1000278,135477.7322,1,29.51443,140575
1000279,75546.43299,3,11.14242977,62292
1000280,0,2,11.31433425,13007
1000281,50823.76201,1,7.132883811,23650
1000282,100756.164,1,2.5186748,16468
1000284,294390.8033,1,41.222219,314448
1000285,32538.94473,0,4.993798271,71415
1000287,146072.8775,0,7.575793965,129845
1000289,98982.46942,1,32.2563772,52278
1000291,83085.23425,1,4.716494946,35532
1000292,0,0,9.563791777,29686
1000293,229562.8315,2,36.721747,170396
1000295,210568.2976,2,25.2387356,160352
1000296,71283.91203,1,16.5355871,108966
1000297,92139.79063,0,56.96788559,69287
1000298,0,0,,7797
1000299,121483.927,1,8.64241,131062
1000300,233344.3303,0,31.775361,283035
1000301,245202.2056,0,38.613488,260623
1000302,645913.4404,2,22.29192537,619934
1000303,154924.903,1,4.65651317,205336
1000304,42184.04431,1,0.55696154,23139
1000305,74901.79179,1,17.685658,74145
1000306,208786.3514,0,9.124448,221736
1000307,206001.5417,2,5.8931921,173991
1000308,368740.2129,0,61.82346974,355651
1000309,66710.5044,0,2.797954741,106702
1000310,119625.1825,2,18.2499814,116208
1000311,51051.64496,0,31.24516819,38531
1000312,51589.83778,1,11.48418492,46454
1000313,9526.902996,0,72.1584126,9624
1000314,213457.9004,0,22.18356881,227017
1000315,9573.039547,1,28.9685348,1810
1000316,71593.53147,2,11.8446498,90261
1000318,72046.16247,0,11.286998,23050
1000319,468423.1317,0,53.2921371,429592
1000320,38126.02688,0,2.55164581,25844
1000321,92176.52778,0,2.7232635,131073
1000322,25280.61292,1,1.2813274,43662
1000323,53300.05607,0,11.4554153,65373
1000324,409.5035359,1,3.457996216,23596
1000325,0,2,19.81253451,49952
1000326,412860.1886,1,31.54417918,445362
1000327,227151.5553,1,4.799692453,212977
1000328,61508.16554,0,4.735574975,53250
1000329,309813.3866,1,8.815226167,354251
1000330,49687.1842,2,69.78769245,37979
1000331,401545.1732,0,0.89298938,420728
1000332,105800.2921,1,9.7464717,64785
1000333,141600.9448,0,67.11458626,132798
1000334,38871.60193,2,32.772668,45492
1000335,148246.1675,1,18.16589257,113713
1000336,0,2,6.677835423,34068
1000337,80010.31107,4,49.46896966,99932
1000338,374766.7717,2,2.994257,348063
1000339,149908.8026,2,32.9841867,167554
1000340,177514.1727,2,1.143241,120549
1000342,100095.1691,0,37.67436362,136840
1000343,181095.9414,3,34.59395463,153914
1000344,101450.7877,0,1.13399122,50181
1000345,52511.06114,2,5.11377665,59310
1000346,241002.7048,0,8.79427749,275996
1000347,98128.59715,0,1.9459777,83562
1000348,126343.7237,0,21.4439228,100473
1000349,221320.0824,0,4.7165275,236642
1000350,88076.69263,2,53.1772354,71687
1000351,126087.0969,0,35.29791579,85809
1000352,704842.0775,1,33.9694134,672650
1000353,66338.24364,0,54.9191246,35540
1000354,0,1,17.913268,30354
1000355,323981.441,2,,343013
1000356,49217.29982,0,53.94576651,15162
1000357,0,0,,27218
1000359,0,3,34.6157653,13228
1000360,25455.20405,0,5.72461451,15946
1000362,97110.17983,1,4.132422489,37765
1000363,29018.15294,4,89.79554112,72103
1000365,59338.23083,1,1.33114753,41770
1000366,160556.4159,0,35.37583428,176477
1000368,184587.8138,1,32.98497242,199038
1000369,66738.73529,1,16.825491,63786
1000370,85766.96775,2,34.99629413,43434
1000371,48898.79874,0,3.962891913,61349
1000372,129410.6612,0,26.8739169,132390
1000374,50127.95433,0,55.3984139,35471
1000375,58621.29009,1,81.49924459,60753
1000376,86352.52515,0,21.82834918,116547
1000377,170755.9965,0,2.4976537,172942
1000379,0,4,71.26621497,27342
1000380,72881.8061,0,12.9788697,83020
1000381,132651.0469,1,5.198446469,33109
1000382,11031.65802,1,1.93798246,42517
1000383,10707.39597,1,5.36887671,34336
1000384,61428.48815,1,62.1258591,41146
1000385,218581.7531,2,29.25365682,197622
1000386,146659.5934,0,2.77629729,122829
1000387,63621.51822,2,12.62557376,30488
1000388,14774.89592,2,8.972398442,28414
1000389,91331.67654,1,9.13275968,88211
1000390,101404.305,1,22.5528626,123266
1000391,147997.7803,1,7.525629723,75359
1000392,240886.5961,0,7.38538721,256237
1000393,0,1,33.88394231,54748
1000394,105984.7257,0,0.589551,71391
1000396,139145.8246,0,6.425217399,96774
1000397,33839.09959,0,,24751
1000398,216260.5224,1,1.72626284,202894
1000399,51238.61606,2,5.97871845,45060
1000400,101475.5319,1,1.3762847,60255
1000401,101704.8392,2,9.293522522,93255
1000402,179225.7942,0,84.43938383,180486
1000403,346766.3511,2,18.84146788,329069
1000405,42235.97608,1,3.8361965,22850
1000406,158162.7623,1,22.34643734,160731
1000408,193333.7411,2,1.65716889,174363
1000409,261100.9559,1,1.71256784,240071
1000410,80900.67266,1,15.9642476,72445
1000411,314186.5435,2,43.348844,360141
1000412,535287.4873,0,3.38893971,464824
1000413,90097.19589,0,18.86564572,89933
1000414,0,1,119.876481,28811
1000415,252710.4371,3,3.276815,229985
1000416,14659.80235,1,12.2586667,12527
1000417,0,2,19.47268847,744
1000418,0,1,33.68686653,17920
1000419,97222.77657,1,2.386119614,58578
1000420,71356.22825,1,34.1233797,47612
1000421,47197.87074,1,3.34282678,40933
1000422,35213.1404,0,49.76445368,49748
1000423,49971.71821,1,,18079
1000424,907510.9333,0,33.6217835,902832
1000425,122588.9185,2,0.83786374,150877
1000426,222180.8112,2,22.432494,238022
1000429,333033.163,0,,275904
1000430,0,0,7.67893,39031
1000431,3452.940645,0,2.48462184,31472
1000433,0,1,5.85821363,12073
1000434,51125.97545,0,5.3526281,8009
1000435,158465.8136,1,66.8491728,179977
1000436,162061.5331,2,21.3824437,119214
1000437,0,1,35.682558,22505
1000438,381548.7033,3,7.8995244,399460
1000439,29000.29296,0,42.15852987,79706
1000442,239677.7181,0,8.53326461,247901
1000443,58808.05098,2,1.41311774,50590
1000444,72542.68258,1,43.98735414,90512
1000445,115411.4162,2,16.6478482,138407
1000446,36665.15557,0,0.64296797,29272
1000447,127500.7027,1,4.36928274,37215
1000448,34616.89996,0,28.27486571,22602
1000449,61345.02362,2,34.78194371,48681
1000450,0,0,12.112866,22019
1000451,236067.5269,2,15.32975764,260621
1000452,93506.45737,1,1.68264222,68945
1000453,203199.1352,0,68.376365,279253
1000454,246857.8691,2,4.79831314,179010
1000456,166795.1904,1,24.36126419,146664
1000457,206695.675,3,32.4932431,194341
1000458,0,1,17.71941637,5931
1000459,23524.63583,0,3.64516697,15954
1000460,65371.30345,0,3.14536444,31230
1000461,452749.6259,0,42.85257736,455158
1000462,93598.38837,0,77.4738519,123454
1000463,96287.05073,2,4.126645648,24774
1000464,29190.88335,0,,22458
1000465,47545.24992,0,2.929496453,54618
1000466,199219.8988,1,12.123372,212409
1000467,74660.83271,1,19.36349543,73055
1000468,0,1,2.493721774,16494
1000469,0,1,73.8833876,19712
1000470,29191.33414,0,38.59316444,4868
1000471,27724.44312,2,3.624525,66230
1000473,22889.9606,2,12.798874,31672
1000474,282902.3859,0,18.1387297,233295
1000476,393055.7948,1,61.11868539,370218
1000477,83592.43473,1,4.15375859,119086
1000478,87027.98004,0,25.37472244,35971
1000479,84360.32268,1,45.4672985,52454
1000480,102090.9739,2,49.47436439,91231
1000481,175281.7949,2,24.8873845,127457
1000482,664929.867,1,5.92925697,669629
1000483,0,2,1.45754443,28651
1000484,0,1,23.1452719,13367
1000486,20037.3791,1,21.76549624,34059
1000487,13326.30682,0,0.145339491,7955
1000490,119184.8924,2,19.48342714,80132
1000492,26138.36198,0,1.8975123,31284
1000493,59771.86431,2,6.689452953,49379
1000496,104454.4437,1,23.2772437,90428
1000498,133900.2077,0,125.1522515,143998
1000499,176759.6819,0,0.832988788,180266
1000500,43561.89477,0,9.253677835,28959
1000501,13465.79218,2,23.7149335,28921
1000502,3450.681456,2,,18769
1000503,49098.61901,0,14.46732992,16835
1000504,49098.54539,2,16.694647,36390
1000505,173347.4161,1,69.8929186,117052
1000506,114320.1043,1,2.234128922,103466
1000507,66472.61268,0,11.41123267,43230
1000508,164364.3861,0,5.693248459,182660
1000509,575802.7977,0,98.12611835,621809
1000510,115891.5232,2,37.65948,121892
1000511,14946.10003,2,14.6264633,26462
1000513,183269.1302,0,45.4247195,205480
1000514,0,4,7.18672247,17230
1000515,16278.91612,2,7.679673843,61726
1000516,214952.606,0,78.569655,194023
1000517,114917.6586,1,2.54699493,109407
1000518,141298.141,1,2.51444166,169828
1000519,40798.12657,1,11.1411138,37565
1000520,289717.401,3,0.815948782,258487
1000522,108641.3319,1,18.28222947,71212
1000523,131428.6999,0,9.527295612,150392
1000524,736080.3832,0,3.34547938,753288
1000525,0,0,18.853894,16705
1000526,108314.4199,1,16.3547891,66564
1000529,169661.0616,2,36.3768265,182004
1000530,185418.7955,0,21.619965,180524
1000531,585581.9892,2,44.8251689,586027
1000532,37802.83623,2,3.35632247,9377
1000533,400484.4562,2,4.74527297,389740
1000534,90387.60129,2,27.9533852,91505
1000535,55842.31984,1,47.91958215,28911
1000536,225519.716,1,19.66478,256610
1000539,111133.5454,1,51.55115257,122933
1000540,4715.208644,3,4.61857127,50441
1000541,225649.99,0,67.8253783,202471
1000543,595655.8058,1,4.738637378,596538
1000544,0,1,,16452
1000545,80518.4799,1,6.91199642,16628
1000546,158866.5888,0,5.39632737,164341
1000547,25370.40566,0,22.3255625,59552
1000548,120060.6315,2,12.1472962,124942
1000549,894741.5591,0,47.98623136,910819
1000550,781162.177,1,8.63638277,797329
1000551,164909.5962,0,5.225451135,154377
1000552,109123.0999,1,6.7944868,104360
1000553,40037.6377,2,4.198274337,35088
1000554,49921.4872,1,7.596815328,13101
1000555,0,1,21.94679354,46058
1000556,112512.9459,1,25.73791285,114154
1000557,0,3,6.3237714,34884
1000560,144775.9759,1,38.956349,126433
1000563,157547.1319,0,9.83186719,201132
1000564,24467.45363,0,1.545533469,36153
1000565,11171.3835,0,171.996261,9004
1000566,343016.6119,3,2.48729647,344424
1000567,112971.195,0,1.44224824,109921
1000568,67261.51538,1,,66535
1000569,54116.54439,1,12.73773861,96454
1000570,214579.013,2,1.45448538,201765
1000571,129384.6188,2,31.55313482,141487
1000573,33739.59294,0,7.1362426,46232
1000574,44042.0702,1,37.46485449,10954
1000575,86692.49497,0,6.41325683,129072
1000576,0,4,23.2172265,39206
1000577,175702.8692,2,56.6829835,172370
1000579,82484.53712,1,6.27627667,31684
1000580,74575.80955,2,31.4423653,58147
1000581,71155.16118,2,2.353174,41890
1000582,57875.30256,1,19.784611,63085
1000583,198090.5326,0,9.5655112,122732
1000584,72426.35812,0,76.841832,51398
1000585,139692.7154,1,27.9499655,111139
1000586,35092.8863,1,11.1281818,35391
1000587,213251.699,2,97.9453513,220097
1000588,486759.3197,1,0.87769444,516381
1000589,0,2,25.4132845,16105
