,User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
0,1000001,P00069042,F,0-17,10,A,2,0,3,,,8370
1,1000001,P00248942,F,0-17,10,A,2,0,1,6,14,15200
2,1000001,P00087842,F,0-17,10,A,2,0,12,,,1422
3,1000001,P00085442,F,0-17,10,A,2,0,12,14,,1057
4,1000002,P00285442,M,55+,16,C,4+,0,8,,,7969
5,1000003,P00193542,M,26-35,15,A,3,0,1,2,,15227
6,1000004,P00184942,M,46-50,7,B,2,1,1,8,17,19215
7,1000004,P00346142,M,46-50,7,B,2,1,1,15,,15854
8,1000004,P0097242,M,46-50,7,B,2,1,1,16,,15686
9,1000005,P00274942,M,26-35,20,A,1,1,8,,,7871
10,1000005,P00251242,M,26-35,20,A,1,1,5,11,,5254
11,1000005,P00014542,M,26-35,20,A,1,1,8,,,3957
12,1000005,P00031342,M,26-35,20,A,1,1,8,,,6073
13,1000005,P00145042,M,26-35,20,A,1,1,1,2,5,15665
14,1000006,P00231342,F,51-55,9,A,1,0,5,8,14,5378
15,1000006,P00190242,F,51-55,9,A,1,0,4,5,,2079
16,1000006,P0096642,F,51-55,9,A,1,0,2,3,4,13055
17,1000006,P00058442,F,51-55,9,A,1,0,5,14,,8851
18,1000007,P00036842,M,36-45,1,B,1,1,1,14,16,11788
19,1000008,P00249542,M,26-35,12,C,4+,1,1,5,15,19614
20,1000008,P00220442,M,26-35,12,C,4+,1,5,14,,8584
21,1000008,P00156442,M,26-35,12,C,4+,1,8,,,9872
22,1000008,P00213742,M,26-35,12,C,4+,1,8,,,9743
23,1000008,P00214442,M,26-35,12,C,4+,1,8,,,5982
24,1000008,P00303442,M,26-35,12,C,4+,1,1,8,14,11927
25,1000009,P00135742,M,26-35,17,C,0,0,6,8,,16662
26,1000009,P00039942,M,26-35,17,C,0,0,8,,,5887
27,1000009,P00161442,M,26-35,17,C,0,0,5,14,,6973
28,1000009,P00078742,M,26-35,17,C,0,0,5,8,14,5391
29,1000010,P00085942,F,36-45,1,B,4+,1,2,4,8,16352
30,1000010,P00118742,F,36-45,1,B,4+,1,5,11,,8886
31,1000010,P00297942,F,36-45,1,B,4+,1,8,,,5875
32,1000010,P00266842,F,36-45,1,B,4+,1,5,,,8854
33,1000010,P00058342,F,36-45,1,B,4+,1,3,4,,10946
34,1000010,P00032442,F,36-45,1,B,4+,1,5,,,5152
35,1000010,P00105942,F,36-45,1,B,4+,1,5,,,7089
36,1000010,P00182642,F,36-45,1,B,4+,1,2,4,9,12909
37,1000010,P00186942,F,36-45,1,B,4+,1,5,12,,8770
38,1000010,P00155442,F,36-45,1,B,4+,1,1,11,15,15212
39,1000010,P00221342,F,36-45,1,B,4+,1,1,2,5,15705
40,1000010,P00087242,F,36-45,1,B,4+,1,14,,,7947
41,1000010,P00111142,F,36-45,1,B,4+,1,1,15,16,18963
42,1000010,P00259342,F,36-45,1,B,4+,1,5,9,,8718
43,1000010,P0094542,F,36-45,1,B,4+,1,2,4,9,16406
44,1000010,P00148642,F,36-45,1,B,4+,1,6,10,13,12642
45,1000010,P00312142,F,36-45,1,B,4+,1,8,,,10007
46,1000010,P00113242,F,36-45,1,B,4+,1,1,6,8,11562
47,1000011,P00192642,F,26-35,1,C,1,0,8,17,,6171
48,1000011,P00110842,F,26-35,1,C,1,0,1,2,5,19327
49,1000011,P00189642,F,26-35,1,C,1,0,8,13,,8027
50,1000012,P00304242,M,26-35,12,C,2,0,1,6,,15246
51,1000012,P00365242,M,26-35,12,C,2,0,5,8,,6865
52,1000013,P00129542,M,46-50,1,C,3,1,8,14,,5839
53,1000013,P00140742,M,46-50,1,C,3,1,1,15,,15912
54,1000013,P00182342,M,46-50,1,C,3,1,1,5,6,12107
55,1000014,P00276642,M,36-45,0,C,0,0,8,11,,5848
56,1000015,P00334242,M,26-35,7,A,1,0,1,8,,19653
57,1000015,P00247542,M,26-35,7,A,1,0,8,16,,5958
58,1000015,P00338442,M,26-35,7,A,1,0,1,16,,11415
59,1000015,P00275142,M,26-35,7,A,1,0,5,8,,5380
60,1000015,P00333042,M,26-35,7,A,1,0,5,8,,3594
61,1000015,P00166242,M,26-35,7,A,1,0,8,,,4209
62,1000015,P00161942,M,26-35,7,A,1,0,5,8,,5407
63,1000015,P00348242,M,26-35,7,A,1,0,8,,,7803
64,1000015,P00042142,M,26-35,7,A,1,0,1,2,6,11458
65,1000016,P00244242,F,36-45,0,C,0,1,1,2,15,11755
66,1000016,P00217742,F,36-45,0,C,0,1,5,14,,8702
67,1000017,P00019342,M,51-55,1,C,0,0,1,6,15,15872
68,1000017,P00100642,M,51-55,1,C,0,0,5,15,,8609
69,1000017,P00073842,M,51-55,1,C,0,0,1,15,17,15172
70,1000018,P00366542,F,18-25,3,B,3,0,5,,,1780
71,1000018,P00190742,F,18-25,3,B,3,0,3,4,9,10754
72,1000018,P00151842,F,18-25,3,B,3,0,4,8,9,2802
73,1000018,P00112642,F,18-25,3,B,3,0,1,2,5,19473
74,1000018,P00118442,F,18-25,3,B,3,0,1,2,,19672
75,1000018,P00034442,F,18-25,3,B,3,0,1,14,16,19313
76,1000018,P00222242,F,18-25,3,B,3,0,1,2,13,15182
77,1000018,P00118342,F,18-25,3,B,3,0,2,3,15,15985
78,1000018,P00324742,F,18-25,3,B,3,0,2,9,14,16454
79,1000018,P00190042,F,18-25,3,B,3,0,3,4,5,13551
80,1000018,P0094142,F,18-25,3,B,3,0,4,5,,697
81,1000018,P00138542,F,18-25,3,B,3,0,5,6,,7030
82,1000018,P00158542,F,18-25,3,B,3,0,5,6,13,5430
83,1000018,P00157542,F,18-25,3,B,3,0,8,14,,8011
84,1000018,P00044142,F,18-25,3,B,3,0,8,16,,5912
85,1000019,P00112542,M,0-17,10,A,3,0,1,11,15,7746
86,1000019,P00339542,M,0-17,10,A,3,0,1,,,19525
87,1000019,P00127842,M,0-17,10,A,3,0,1,2,15,11959
88,1000019,P00125942,M,0-17,10,A,3,0,1,2,15,19172
89,1000019,P00251342,M,0-17,10,A,3,0,5,11,,8773
90,1000019,P00249642,M,0-17,10,A,3,0,3,5,,11023
91,1000019,P00124842,M,0-17,10,A,3,0,11,,,4654
92,1000019,P00250642,M,0-17,10,A,3,0,11,,,4664
93,1000019,P00058142,M,0-17,10,A,3,0,3,4,12,8290
94,1000019,P00117442,M,0-17,10,A,3,0,5,14,,7011
95,1000019,P00251642,M,0-17,10,A,3,0,1,2,4,4211
96,1000019,P00244842,M,0-17,10,A,3,0,11,,,1539
97,1000021,P00220242,M,18-25,16,B,0,0,3,12,,3055
98,1000022,P00351142,M,18-25,15,A,4+,0,1,8,17,12099
99,1000022,P00213242,M,18-25,15,A,4+,0,5,8,,8797
100,1000022,P00195942,M,18-25,15,A,4+,0,3,4,,10681
101,1000022,P00115642,M,18-25,15,A,4+,0,8,14,,7801
102,1000022,P0098242,M,18-25,15,A,4+,0,1,16,,15517
103,1000022,P00262242,M,18-25,15,A,4+,0,1,11,16,12098
104,1000022,P00258742,M,18-25,15,A,4+,0,5,,,6976
105,1000022,P00218242,M,18-25,15,A,4+,0,5,8,,5384
106,1000022,P00021742,M,18-25,15,A,4+,0,5,,,6973
107,1000022,P00313042,M,18-25,15,A,4+,0,5,14,,5168
108,1000022,P00133742,M,18-25,15,A,4+,0,5,14,,3449
109,1000022,P00077042,M,18-25,15,A,4+,0,5,,,7177
110,1000022,P00280542,M,18-25,15,A,4+,0,11,,,4570
111,1000022,P00225842,M,18-25,15,A,4+,0,2,4,15,9564
112,1000023,P00278942,M,36-45,0,B,3,1,1,2,3,15766
113,1000023,P00004742,M,36-45,0,B,3,1,6,16,,8481
114,1000023,P00198042,M,36-45,0,B,3,1,11,16,,6108
115,1000023,P00177442,M,36-45,0,B,3,1,1,6,8,15354
116,1000023,P00000642,M,36-45,0,B,3,1,1,6,16,12015
117,1000023,P00288942,M,36-45,0,B,3,1,1,2,5,15371
118,1000023,P00270942,M,36-45,0,B,3,1,1,2,15,19239
119,1000023,P00345842,M,36-45,0,B,3,1,2,8,14,16137
120,1000023,P00032042,M,36-45,0,B,3,1,1,2,15,11887
121,1000023,P00313042,M,36-45,0,B,3,1,5,14,,5183
122,1000023,P00112342,M,36-45,0,B,3,1,13,16,,584
123,1000023,P00031842,M,36-45,0,B,3,1,1,5,12,7601
124,1000024,P00346642,F,26-35,7,A,3,1,8,,,2230
125,1000024,P00205642,F,26-35,7,A,3,1,5,8,,6940
126,1000024,P00248942,F,26-35,7,A,3,1,1,6,14,15774
127,1000025,P00206442,M,18-25,4,C,4+,0,1,5,9,15361
128,1000025,P00046742,M,18-25,4,C,4+,0,1,2,15,15770
129,1000025,P00120042,M,18-25,4,C,4+,0,1,2,,18974
130,1000026,P00043242,M,26-35,7,B,2,1,5,,,1848
131,1000026,P00057242,M,26-35,7,B,2,1,5,,,3624
132,1000026,P00022842,M,26-35,7,B,2,1,5,,,5275
133,1000026,P00252042,M,26-35,7,B,2,1,5,14,,5356
134,1000026,P00042242,M,26-35,7,B,2,1,5,15,,5411
135,1000026,P00059542,M,26-35,7,B,2,1,2,4,,9734
136,1000026,P00346642,M,26-35,7,B,2,1,8,,,7814
137,1000026,P00021242,M,26-35,7,B,2,1,8,16,,6098
138,1000026,P00023042,M,26-35,7,B,2,1,5,14,,5195
139,1000026,P00144242,M,26-35,7,B,2,1,5,14,,5220
140,1000026,P00101342,M,26-35,7,B,2,1,6,8,,16093
141,1000026,P00289342,M,26-35,7,B,2,1,5,8,14,3702
142,1000027,P00281742,M,26-35,11,C,1,1,5,8,18,8696
143,1000027,P00266642,M,26-35,11,C,1,1,1,8,9,7730
144,1000027,P00323742,M,26-35,11,C,1,1,8,,,9836
145,1000027,P00116342,M,26-35,11,C,1,1,2,,,16500
146,1000027,P00117142,M,26-35,11,C,1,1,2,17,,15903
147,1000028,P00084442,F,26-35,1,C,2,1,13,16,,758
148,1000028,P00331542,F,26-35,1,C,2,1,5,8,,6904
149,1000028,P00118742,F,26-35,1,C,2,1,5,11,,8690
150,1000028,P00178942,F,26-35,1,C,2,1,5,8,,8624
151,1000028,P00026042,F,26-35,1,C,2,1,8,14,17,3904
152,1000029,P00233542,M,36-45,7,C,1,0,1,15,,19068
153,1000029,P00127242,M,36-45,7,C,1,0,1,16,,7963
154,1000029,P00349942,M,36-45,7,C,1,0,1,5,,15511
155,1000029,P00303342,M,36-45,7,C,1,0,1,16,,11859
156,1000030,P00051442,F,36-45,7,C,3,0,8,17,,9735
157,1000030,P00275642,F,36-45,7,C,3,0,8,,,4166
158,1000030,P00278642,F,36-45,7,C,3,0,5,,,6927
159,1000031,P00117442,M,55+,7,C,2,0,5,14,,8596
160,1000031,P00322042,M,55+,7,C,2,0,5,8,,5248
161,1000031,P00216342,M,55+,7,C,2,0,3,4,5,10592
162,1000031,P00329342,M,55+,7,C,2,0,5,,,3482
163,1000032,P00332342,F,26-35,0,C,3,1,5,8,,7134
164,1000033,P00285442,M,46-50,3,A,1,1,8,,,7854
165,1000033,P00111742,M,46-50,3,A,1,1,15,,,17391
166,1000033,P00293742,M,46-50,3,A,1,1,8,,,6074
167,1000033,P00032842,M,46-50,3,A,1,1,8,,,6119
168,1000033,P00216142,M,46-50,3,A,1,1,1,16,,15333
169,1000033,P00001642,M,46-50,3,A,1,1,8,16,,6129
170,1000033,P00351842,M,46-50,3,A,1,1,5,,,5265
171,1000033,P00145442,M,46-50,3,A,1,1,8,15,,7888
172,1000033,P00344242,M,46-50,3,A,1,1,8,10,,4035
173,1000033,P00327242,M,46-50,3,A,1,1,5,8,,5280
